%time,field.x,field.y,field.theta
1583762851048634355,-0.00261270933363,-0.00441900934737,-0.000378842459791
1583762851048697337,-0.00283660658485,0.00185104579546,-0.000615861498189
1583762851048774524,-0.00238534450067,-0.00140320440188,-0.00147543638851
1583762851048816991,-0.00240478715646,-0.00179106534153,-0.000891366058712
1583762851048876046,-0.00189416334836,-0.00253224172101,-0.000627496963111
1583762851049007337,-0.00248588409583,-0.00214406416724,-0.000869138439109
1583762851049122657,-0.0020720698363,-0.001869040243,-0.00127618777564
1583762851049161995,-0.00290420990912,-0.000139457900317,-0.000900320968594
1583762851049183461,-0.00319047136776,-0.00249157861715,-0.00121071019235
1583762851049215281,-0.00215709675877,-0.00361734892173,-0.000693743291086
1583762851049255874,-0.00165981078908,-0.000368159328197,-0.000527666200051
1583762851049296201,-0.00287050481374,-0.00254667161828,-0.00106566865089
1583762851049347611,-0.00286982186895,-0.000701857140899,-0.000939093115545
1583762851049378509,-0.00226837087994,-0.00281619108378,-0.00147690272543
1583762851049412031,-0.00217538381246,0.00423533778639,-0.000358776053491
1583762851049445553,-0.00196989448517,0.005444860717,-0.00121796431488
1583762851049477431,-0.0017171025197,-0.00259565265288,-0.000682526955444
1583762851049500572,-0.00256860327918,0.000600698487693,-0.00148532960865
1583762851049550037,-0.00285299185267,0.00354801580286,0.000181161924861
1583762851049590698,-0.00276791838692,0.00242688013057,-6.4721570368e-06
1583762851049635487,-0.00265062639705,0.000367239665061,-0.00251561869814
1583762851049720501,0.000357447382333,0.00621754615872,-0.00335709864656
1583762851049753819,0.00588680758077,0.0044414860838,-0.00340021925771
1583762851049807325,0.0102505108222,-0.000883935916324,-0.00455216719027
1583762851049870755,0.0202284552038,0.00552260268091,-0.00503991746831
1583762851050001786,0.0293447604033,0.00208750563713,-0.00528834484103
1583762851050049204,0.0408391054417,0.00538505275633,-0.00647827007546
1583762851050157251,0.0552944459274,0.0066557892527,-0.00767796073821
1583762851050232576,0.0715808767729,0.0105691183092,-0.008354038681
1583762851050266700,0.0888025673292,0.00577376648142,-0.00987426493934
1583762851050324293,0.107748666131,0.0130234716839,-0.0115081224464
1583762851050418314,0.128462583629,0.00845525880663,-0.0116423053351
1583762851050483163,0.147756776812,0.0129844591985,-0.0115228690603
1583762851050519950,0.169890472715,0.0107213701803,-0.0118746888368
1583762851050563321,0.190978211347,0.0100001014071,-0.0116854710311
1583762851050615929,0.212819797174,0.00749314629005,-0.011677527909
1583762851050708126,0.233791868301,0.0118331394714,-0.012429792296
1583762851050907819,0.255368651652,0.00988471679098,-0.012697338938
1583762851050960964,0.276809724233,0.0143857201603,-0.0129950148638
1583762851050998424,0.298311785015,0.0163086019399,-0.012758983006
1583762851051103231,0.319399050261,0.0221184197365,-0.0127816535602
1583762851051159352,0.339950207781,0.0257636148617,-0.0133124217056
1583762851051220203,0.361248706552,0.0249901597299,-0.0122087013165
1583762851051443532,0.382597119325,0.0241407259226,-0.0125491670981
1583762851051557315,0.403275477206,0.0235736756433,-0.0120321697169
1583762851051636604,0.424101940052,0.0228022462657,-0.0124222173739
1583762851051720441,0.444450122506,0.0254131381559,-0.0119763600621
1583762851051778740,0.464510738305,0.0251567135999,-0.0126886672111
1583762851051873322,0.484912402961,0.0297248500202,-0.0127205062915
1583762851051954542,0.506401836586,0.0289732155352,-0.0127096153156
1583762851052019622,0.527082697957,0.0300206056744,-0.0131981589086
1583762851052078830,0.546630304338,0.0308589360024,-0.0131500260019
1583762851052212105,0.567912481576,0.0295846207326,-0.0134793411544
1583762851052292961,0.589472618256,0.0317958210173,-0.0131448301794
1583762851052530256,0.610005479649,0.0288374324338,-0.0139950483326
1583762851052623065,0.631023962228,0.0319796168339,-0.0136561849555
1583762851052665547,0.651724385627,0.0257720028333,-0.0138464746752
1583762851052743703,0.672650240445,0.0350367608758,-0.0147122941253
1583762851052797413,0.693681754279,0.0380446325623,-0.0134040282124
1583762851056097400,0.71420569501,0.0513535844287,-0.0143418151569
1583762851056133175,0.734520963868,0.0521319108774,-0.0153499704658
1583762851056625788,0.75522083983,0.0599600047412,-0.0152796435974
1583762851099941385,0.777329929098,0.0603891152946,-0.0150883344623
1583762851200228479,0.797774029721,0.0610840576255,-0.0153933236845
1583762851322725879,0.819723384207,0.0624314800017,-0.0151545770501
1583762851418992775,0.841237684917,0.0668476036594,-0.0161239863424
1583762851524361211,0.863304802349,0.0707359863021,-0.0153888416072
1583762851618184753,0.884184001401,0.0673128312016,-0.0159071063345
