%time,field.data
1583762851051070860,0
1583762851051115058,0
1583762851051183016,0
1583762851051294674,0
1583762851051490075,0
1583762851051596780,0
1583762851051661855,0
1583762851051732446,0
1583762851051791121,0
1583762851051896279,0
1583762851051970206,0
1583762851052060187,0
1583762851052101258,0
1583762851052273787,0
1583762851052318214,0
1583762851052444833,0
1583762851052541393,0
1583762851052580637,0
1583762851052695538,0
1583762851052749199,0
1583762851052809701,0
1583762851165439127,0
1583762851239606360,0
1583762851341538471,0
1583762851437271978,0
1583762851536510547,0
1583762851647123154,0
1583762851742116234,0
1583762851837027082,0
1583762851941565475,0
1583762852047666329,0
1583762852140073693,0
1583762852241391273,0
1583762852336353108,0
1583762852456534279,0
1583762852543296609,0
1583762852640455612,0
1583762852754269774,0
1583762852841631424,0
1583762852934932707,0
1583762853041420941,0
1583762853141009278,0
1583762853241440313,0
1583762853351580274,0
1583762853449441873,0
1583762853572222072,0
1583762853636623292,0
1583762853744638903,0
1583762853835794155,0
1583762853942748805,0
1583762854040606065,0
1583762854143645032,0
1583762854236636910,0
1583762854341675987,0
1583762854452598415,0
1583762854537614408,0
1583762854643627946,0
1583762854753311462,0
1583762854844339294,0
1583762854943964380,0
1583762855043879966,0
1583762855142867291,0
1583762855245093866,0
1583762855344020967,0
1583762855436738370,0
1583762855544212988,0
1583762855634679848,0
1583762855735505003,0
1583762855850442136,0
1583762855936233761,0
1583762856051224525,0
1583762856147721197,0
1583762856256624504,0
1583762856354282085,0
1583762856542842336,0
1583762856561693722,0
1583762856687453614,0
1583762856849460781,0
1583762856867753730,0
1583762857015526571,0
1583762857165866267,0
1583762857172716590,0
1583762857320928728,0
1583762857390108125,0
1583762857533288982,0
1583762857549302771,0
1583762857635161660,0
1583762857734466377,0
1583762857834532423,0
1583762857940911715,0
1583762858034580714,0
1583762858134433364,0
1583762858235196344,0
1583762858334517648,0
1583762858434619579,0
1583762858541293119,0
1583762858634705329,0
1583762858734895613,0
1583762858843944622,0
1583762858934571441,0
1583762859034677949,0
1583762859134988020,0
1583762859234680622,0
1583762859334454420,0
1583762859435330802,0
1583762859534422096,0
1583762859635986077,0
1583762859735048133,0
1583762859836234486,0
1583762859934799184,0
1583762860044352293,0
1583762860136555047,0
1583762860234935674,0
1583762860340966066,0
1583762860434992634,0
1583762860536098343,0
1583762860635831142,0
1583762860735643118,0
1583762860851022505,0
1583762860941722836,0
1583762861034641712,0
1583762861134950733,0
1583762861235285017,0
1583762861334595760,0
1583762861435739647,0
1583762861540252474,0
1583762861637591275,0
1583762861734456745,0
1583762861835480748,0
1583762861937200796,0
1583762862035706481,0
1583762862135037928,0
1583762862234864185,0
1583762862334560292,0
1583762862441605187,0
1583762862535078947,0
1583762862635163149,0
1583762862734985084,0
1583762862834713397,0
1583762862936133921,0
1583762863040150794,0
1583762863133907456,0
1583762863236283275,0
1583762863341682908,0
1583762863435991653,0
1583762863534688129,0
1583762863640991066,0
1583762863738770538,0
1583762863833726941,0
1583762863935720334,0
1583762864033777694,0
1583762864134689138,0
1583762864318048124,0
1583762864335531932,0
1583762864437591689,0
1583762864542365327,0
1583762864635558274,0
1583762864737121041,0
1583762864841101728,0
1583762864935633511,0
1583762865035918334,0
1583762865141731401,0
1583762865241068940,0
1583762865343050573,0
1583762865440957822,0
1583762865537333567,0
1583762865635301143,0
1583762865735604157,0
1583762865837544705,0
1583762865939876392,0
1583762866043692215,0
1583762866135852015,0
1583762866233863646,0
1583762866333688294,0
1583762866434771313,0
1583762866535516834,0
1583762866635876825,0
1583762866735885682,0
1583762866835800661,0
1583762866941684538,0
1583762867034242506,0
1583762867136548169,0
1583762867235568041,0
1583762867335936761,0
1583762867441535371,0
1583762867540155098,0
1583762867638548670,0
1583762867736151372,0
1583762867843978753,0
1583762867937728684,0
1583762868034908256,0
1583762868135423963,0
1583762868240114444,0
1583762868335226877,0
1583762868436453333,0
1583762868535861545,0
1583762868636509580,0
1583762868735141456,0
1583762868835091371,0
1583762868933807632,0
1583762869034940426,0
1583762869134575705,0
1583762869235696136,0
1583762869343079877,0
1583762869437742104,0
1583762869533724394,0
1583762869635682800,0
1583762869735427260,0
1583762869836847931,0
1583762869943904958,0
1583762870037443056,0
1583762870137697614,0
1583762870241667868,0
1583762870334896681,0
1583762870438364080,0
1583762870541586625,0
1583762870635639203,0
1583762870744559769,0
1583762870844646809,0
1583762870935864301,0
1583762871035855761,0
1583762871145821868,0
1583762871259315471,0
1583762871339414613,0
1583762871444829058,0
1583762871536117359,0
1583762871634356156,0
1583762871744650040,0
1583762871836183135,0
1583762871938251082,0
1583762872049882142,0
1583762872135745664,0
1583762872237873713,0
1583762872342980081,0
1583762872436388384,0
1583762872537137624,0
1583762872643645932,0
1583762872737355960,0
1583762872837921302,0
1583762872943179885,0
1583762873035681140,0
1583762873135280044,0
1583762873241513818,0
1583762873337091429,0
1583762873434571658,0
1583762873540789108,0
1583762873639050966,0
1583762873737711579,0
1583762873842067891,0
1583762873936829284,0
1583762874035644330,0
1583762874137654083,0
1583762874235788943,0
1583762874336253023,0
1583762874445247004,0
1583762874533950325,0
1583762874636550220,0
1583762874747668105,0
1583762874838790798,0
1583762874934106523,0
1583762875045465313,0
1583762875136282886,0
1583762875234150105,0
1583762875343325683,0
1583762875435313338,0
1583762875536137185,0
1583762875644471815,0
1583762875734297098,0
1583762875834933582,0
1583762875935995547,0
1583762876034185880,0
1583762876134115800,0
1583762876243650205,0
1583762876334603447,0
1583762876435660687,0
1583762876540652717,0
1583762876635269090,0
1583762876734120450,0
1583762876841443863,0
1583762876936647600,0
1583762877040796176,0
1583762877142948133,0
1583762877238908883,0
1583762877334791350,0
1583762877435822999,0
1583762877534223072,0
1583762877635267575,0
1583762877741537889,0
1583762877836611054,0
1583762877935585669,0
1583762878040328916,0
1583762878151539418,0
1583762878237431225,0
1583762878343441571,0
1583762878438455167,0
1583762878545071209,0
1583762878641484350,0
1583762878742902486,0
1583762878842252230,0
1583762878945907422,0
1583762879035647444,0
1583762879136342171,0
1583762879243876697,0
1583762879336240067,0
1583762879436752889,0
1583762879586889884,0
1583762879815608658,0
1583762879841469708,0
1583762879847377290,0
1583762879936972511,0
1583762880040577337,0
1583762880143847945,0
1583762880242932077,0
1583762880334668822,0
1583762880451467227,0
1583762880539917872,0
1583762880635579086,0
1583762880735576330,0
1583762880836253602,0
1583762880934527900,0
1583762881036805906,0
1583762881135825177,0
1583762881237469923,0
1583762881340274894,0
1583762881442898930,0
1583762881534660205,0
1583762881636639543,0
1583762881737338542,0
1583762881834813063,0
1583762881937624472,0
1583762882038115144,0
1583762882135830415,0
1583762882237021266,0
1583762882339731077,0
1583762882436326019,0
1583762882553014521,0
1583762882634939145,0
1583762882735320979,0
1583762882837564237,0
1583762882941699364,0
1583762883041902495,0
1583762883136309356,0
1583762883235292317,0
1583762883335247074,0
1583762883436043596,0
1583762883538998445,0
1583762883639611884,0
1583762883743780535,0
1583762883839038127,0
1583762883938025654,0
1583762884038063868,0
1583762884140317086,0
1583762884237698521,0
1583762884337449397,0
1583762884438428602,0
1583762884538239804,0
1583762884638194778,0
1583762884791251391,0
1583762884838392187,0
1583762884938405409,0
1583762885035620279,0
1583762885139684800,0
1583762885236137067,0
1583762885337970035,0
1583762885436993282,0
1583762885535171559,0
1583762885637878157,0
1583762885967823530,0
1583762885967852447,0
1583762885967871062,0
1583762886035844494,0
1583762886169749666,0
1583762886235006160,0
1583762886336159468,0
1583762886437049939,0
1583762886538139285,0
1583762886636085153,0
1583762886735608927,0
1583762886836773125,0
1583762886938171211,0
1583762887037885141,0
1583762887137253520,0
1583762887240190608,0
1583762887333905579,0
1583762887443100848,0
1583762887537311608,0
1583762887636445254,0
1583762887743632300,0
1583762887836254404,0
1583762887937355393,0
1583762888036451180,0
1583762888136207072,0
1583762888235250443,0
1583762888338368556,0
1583762888436829326,0
1583762888536081200,0
1583762888638266532,0
1583762888736119790,0
1583762888834236341,0
1583762888935373585,0
1583762889038585973,0
1583762889138228988,0
1583762889234165845,0
1583762889335075138,0
1583762889436173395,0
1583762889535217445,0
1583762889634042569,0
1583762889734714266,0
1583762889835216286,0
1583762889937816952,0
1583762890040740333,0
1583762890134469676,0
1583762890234978290,0
1583762890336289379,0
1583762890434976131,0
1583762890536159983,0
1583762890636077067,0
1583762890738704516,0
1583762890837732380,0
1583762890940989212,0
1583762891035032598,0
1583762891133830086,0
1583762891241218332,0
1583762891336131823,0
1583762891438299288,0
1583762891545938425,0
1583762891636164841,0
1583762891733815321,0
1583762891834998295,0
1583762891934166830,0
1583762892034299595,0
1583762892133863914,0
1583762892235755600,0
1583762892339543424,0
1583762892435027009,0
1583762892535035032,0
1583762892636155072,0
1583762892735048327,0
1583762892834082226,0
1583762892936410185,0
1583762893034385398,0
1583762893135317812,0
1583762893234148397,0
1583762893334198552,0
1583762893435034062,0
1583762893538477474,0
1583762893635889100,0
1583762893736021126,0
1583762893837286857,0
1583762894030097951,0
1583762894036243236,0
1583762894135145455,0
1583762894236384644,0
1583762894337458979,0
1583762894437673532,0
1583762894534137850,0
1583762894635451752,0
1583762894734534642,0
1583762894837700512,0
1583762894934052031,0
1583762895034217127,0
1583762895136284195,0
1583762895235249478,0
1583762895335018531,0
1583762895434990296,0
1583762895536107546,0
1583762895635932135,0
1583762895738363583,0
1583762895836152498,0
1583762895935008739,0
1583762896036249155,0
1583762896134971542,0
1583762896236604314,0
1583762896334965988,0
1583762896436201506,0
1583762896535082260,0
1583762896635295375,0
1583762896736019304,0
1583762896835399544,0
1583762896936134930,0
1583762897035227401,0
1583762897136244568,0
1583762897235066885,0
1583762897336146103,0
1583762897437228293,0
1583762897538041266,0
1583762897635207549,0
1583762897735027838,0
1583762897845568544,0
1583762897942411229,0
1583762898054519157,0
1583762898145559168,0
1583762898235807300,0
1583762898354885355,0
1583762898445855238,0
1583762898577979530,0
1583762898639954643,0
1583762898744599299,0
1583762898835802517,0
1583762898939021217,0
1583762899034218744,0
1583762899134183215,0
1583762899236269775,0
1583762899405323274,0
1583762899576013607,0
1583762899586756346,0
1583762899757635758,0
1583762899763986432,0
1583762899996219375,0
1583762900004738312,0
1583762900035303780,0
1583762900245804476,0
1583762900245868730,0
1583762900458004603,0
1583762900466168932,0
1583762900684874212,0
1583762900704034372,0
1583762900921160526,0
1583762900943196515,0
1583762900943208063,0
1583762901153115066,0
1583762901165718627,0
1583762901385472583,0
1583762901395810292,0
1583762901612639702,0
1583762901618063478,0
1583762901634092760,0
1583762901844899747,0
1583762901851182543,0
1583762902083174963,0
1583762902092244944,0
1583762902312804331,0
1583762902319605496,0
1583762902337112283,0
1583762902800135482,0
1583762902801083262,0
1583762902801093719,0
1583762902801149212,0
1583762903017764414,0
1583762903025932935,0
1583762903037755109,0
1583762903566767647,0
1583762903566779202,0
1583762903566789828,0
1583762903566833016,0
1583762903736399756,0
1583762903736412491,0
1583762903742205187,0
1583762903965065183,0
1583762903974571940,0
1583762904195844433,0
1583762904209235130,0
1583762904420720813,0
1583762904430327298,0
1583762904438108661,0
1583762904535804188,0
1583762904636412923,0
1583762904734711669,0
1583762904834653910,0
1583762904935595743,0
1583762905035850470,0
1583762905134704787,0
1583762905234466738,0
1583762905334652133,0
1583762905437121004,0
1583762905534534501,0
1583762905634840844,0
1583762905735124267,0
1583762905835476036,0
1583762905934488700,0
1583762906035777887,0
1583762906136714317,0
1583762906234539187,0
1583762906334257604,0
1583762906435683661,0
1583762906535468124,0
1583762906634604234,0
1583762906734630568,0
1583762906834806956,0
1583762906934667021,0
1583762907038343028,0
1583762907134992890,0
1583762907234621555,0
1583762907335369727,0
1583762907441258293,0
1583762907534490513,0
1583762907638560280,0
1583762907734643544,0
1583762907835818700,0
1583762907937977960,0
1583762908034720768,0
1583762908134792790,0
1583762908234756875,0
1583762908334984616,0
1583762908439342160,0
1583762908534449914,0
1583762908635699663,0
1583762908734507706,0
1583762908835674849,0
1583762908935586665,0
1583762909036642303,0
1583762909135640587,0
1583762909234903084,0
1583762909334708387,0
1583762909437031676,0
1583762909535576997,0
1583762909634623715,0
1583762909734796137,0
1583762909841904214,0
1583762909934393102,0
1583762910037099742,0
1583762910138160527,0
1583762910234616612,0
1583762910336814995,0
1583762910437086590,0
1583762910538226424,0
1583762910634307682,0
1583762910743719012,0
1583762910835067435,0
1583762910935516036,0
1583762911035934519,0
1583762911134691347,0
1583762911238417014,0
1583762911337861784,0
1583762911437022809,0
1583762911534740302,0
1583762911641261215,0
1583762911736568431,0
1583762911834027137,0
1583762911935829213,0
1583762912037377959,0
1583762912133568293,0
1583762912235052425,0
1583762912337011262,0
1583762912434790443,0
1583762912536774703,0
1583762912635896373,0
1583762912736583256,0
1583762912842999462,0
1583762912934941329,0
1583762913034965144,0
1583762913133744139,0
1583762913234899322,0
1583762913336861369,0
1583762913433883959,0
1583762913539905940,0
1583762913634986227,0
1583762913741498226,0
1583762913836643210,0
1583762913933626114,0
1583762914040706014,0
1583762914136905971,0
1583762914238035867,0
1583762914333777784,0
1583762914434140148,0
1583762914534725480,0
1583762914641392198,0
1583762914734848045,0
1583762914838099951,0
1583762914943618604,0
1583762915038353558,0
1583762915136853536,0
1583762915236008505,0
1583762915334193174,0
1583762915452300680,0
1583762915540993285,0
1583762915634762011,0
1583762915734850658,0
1583762915834082987,0
1583762915955077096,0
1583762916036696938,0
1583762916136168800,0
1583762916240207789,0
