%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1583762851049379438,1,1583762845989366024,odom,0.0,0.0,0.0,0.00426019215969,-0.018801557787,-0.985030729355,0.172378833465,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.99984331429e-06,0.0,0.0,0.0,0.0,0.0,0.0,206000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.88991648108e-10
1583762851049407602,2,1583762846088366024,odom,0.0,0.0,0.0,0.00419911322903,-0.0188625361319,-0.985698697246,0.168517293618,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,207000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8324071435e-10
1583762851049439522,3,1583762846141850013,odom,0.0,0.0,0.0,0.004185611911,-0.0188760153066,-0.985844907358,0.167659830123,2.86044087261e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.86044087261e-06,0.0,0.0,0.0,0.0,0.0,0.0,208000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26671324329e-11
1583762851049470935,4,1583762846289366024,odom,0.0,0.0,0.0,0.00407700104314,-0.0189234791927,-0.986869223524,0.161521316431,2.17609340325e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.17609340325e-05,0.0,0.0,0.0,0.0,0.0,0.0,209000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.28873959604e-10
1583762851049509402,5,1583762846341856325,odom,0.0,0.0,0.0,0.00407700104314,-0.0189234791927,-0.986869223524,0.161521316431,2.75520142168e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.75520142168e-06,0.0,0.0,0.0,0.0,0.0,0.0,210000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,7.96238949476e-11
1583762851049537590,6,1583762846493629114,odom,0.0,0.0,0.0,0.00407700105375,-0.0189234790798,-0.986866599753,0.161537346434,2.30348668993e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.30348668993e-05,0.0,0.0,0.0,0.0,0.0,0.0,211000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.6569166851e-10
1583762851049577406,7,1583762846592629114,odom,0.0,0.0,0.0,0.00407704554755,-0.0188624659893,-0.986754466926,0.162220904945,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.80100594461e-06,0.0,0.0,0.0,0.0,0.0,0.0,212000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.8324071435e-10
1583762851049623062,8,1583762846693629114,odom,0.0,0.0,0.0,0.00407704554287,-0.0188624658064,-0.986754881436,0.162218383553,1.02010089904e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.02010089904e-05,0.0,0.0,0.0,0.0,0.0,0.0,213000000.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.65661287308e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.94800380276e-10
1583762851049841920,9,1583762846741909922,odom,0.0,0.0,0.0,0.00408546904115,-0.0188624706774,-0.986682806232,0.162656201502,2.33086757362e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.33086757362e-06,0.0,0.0,0.0,0.0,0.0,0.0,214000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.32830643654e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.7365005581e-11
1583762851049870962,10,1583762846893629114,odom,0.000885780855598,-3.21277782575e-07,0.0,0.00419911239662,-0.0188625310441,-0.985842037941,0.167676701509,2.30188015848e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.30188015848e-05,0.0,0.0,0.0,0.0,0.0,0.0,215000000.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.98491930962e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.65221587159e-10
