%time,field.x,field.y,field.theta
1583763060236923653,-0.00116971277256,-0.0020653343312,-0.00101286187185
1583763060236934677,-0.000885317457826,-0.00670417525073,-0.000467727798424
1583763060236948368,-0.00160008979337,-0.00317461113811,-0.00101494606581
1583763060237008932,-0.000664384370038,-0.00589931324439,9.74589599468e-05
1583763060237344330,-0.00118169622552,-0.0040750965969,-0.000724497304505
1583763060237443974,-0.00172304272189,-0.0028728845323,-0.000818426148602
1583763060237565158,-0.000924097614844,-0.00315499359113,-0.000918113474272
1583763060237587833,-0.00129817264322,-0.00406282844777,-0.000633151124742
1583763060237633849,-0.000709737570333,-0.00353331261433,-0.000355631061142
1583763060237653961,-0.00101975411182,-0.00506199665392,-0.000370025821524
1583763060237667282,-0.00150270287851,0.00101614892558,-0.00123568676737
1583763060237699487,-0.000579318048078,-0.00554830777756,-0.000412871551627
1583763060237830976,-0.00128819199621,-0.001796403643,-0.000778082590809
1583763060237845480,-0.00134439254464,-0.0035123929782,-0.00056642560783
1583763060237892590,-0.00132881513544,-0.00294248929871,-0.000629532008553
1583763060237967768,-0.00142686879459,-0.00336727554598,-0.000636587702485
1583763060238681888,-0.00203273958778,-0.0020615586979,-0.00107132049672
1583763060238735098,-0.00144851660853,-0.00328441221131,-0.000978846124231
1583763060238810893,-0.000964464250921,-0.00264207459981,-0.00060373974863
1583763060239079964,-0.00109861403219,-0.00308642335788,-0.000720905582288
1583763060239129391,-0.00113078927051,-0.00532297245253,-0.000606719353234
1583763060239231784,-0.00098851333382,-0.00182280153049,-0.001132343226
1583763060239305996,-0.00055161100252,-0.00341400056481,-0.000257471192256
1583763060239363253,-0.000755673136038,-0.00270964715229,-0.000694373171662
1583763060239510096,-0.0012217161301,-0.00203183524357,-0.00130216644489
1583763060239555842,-0.000983962884971,-0.00530597132926,-0.000173624884838
1583763060239600775,-0.000570071507518,-0.00599792791672,-0.000145516669983
1583763060239632707,-0.000787640395848,-0.000206299129386,-0.000772113071842
1583763060239985704,-0.000188502641152,-0.0024908112461,-0.00120557660349
1583763060240011849,-0.000760877177695,-0.00371806249903,-0.000846253951475
1583763060240065882,-0.00021766048787,-0.0028903679445,-0.000799508572851
1583763060240232147,-0.000549452655154,-0.00446905912887,-0.000507909577813
1583763060240347241,-0.000568749300368,-0.0042902461478,-0.000980143434109
1583763060240404978,-0.000630581659295,-0.0031085967932,-0.000689295753119
1583763060240462815,-0.0002484302118,-0.00266897488491,-0.000708973557904
1583763060240503311,-0.000215790492249,-0.00448776311811,-0.000599706799006
1583763060240556121,-0.000767031313095,-0.000508568785171,-0.00143762830579
1583763060240606021,-0.000394964446989,-0.00180024486385,-0.000685804982034
1583763060240663641,-0.00031221055583,-0.0016306728594,-0.00074438473134
1583763060240707948,-0.000104486552436,-0.00370330589615,-0.000413541160784
1583763060240761415,-0.000272675763017,-0.00500135837353,-0.000401162046369
1583763060240840846,-0.000514955039148,-0.00484413808072,-0.000453093116716
1583763060240865561,-0.000530033245793,-0.00317628807741,-0.000567254348792
1583763060240915901,-0.000662420725977,-0.00276292722594,-0.00124419002255
1583763060240967121,-0.000697567079261,-0.00288317601826,-0.000521110034339
1583763060241009894,-0.000547900786367,-0.00376387940785,-0.000410350962213
1583763060241068351,-0.00034716526175,-0.00305310272922,-0.000570480233652
1583763060241123325,-6.20447880065e-05,-0.00582084647708,-0.000243422846905
1583763060241180852,-0.000309232619275,-0.00650285058897,-0.000272707373139
1583763060241228789,-0.000300183520088,-0.00065636662565,-0.00117980727092
1583763060241307704,-0.000164508441691,-0.00287179030273,-0.000452968965567
1583763060241370915,-0.000402490582191,-0.00381085696016,-0.000541781552753
1583763060241456270,-0.000436969579902,-0.00367544497334,-0.00062779296428
1583763060241512050,-5.84206220194e-05,-0.0045906894454,4.76238325568e-05
1583763060241571388,0.00030527855653,-0.00543620824783,-8.93049303949e-05
1583763060241637572,0.0034651076309,-0.00201010638933,-0.000211864268238
1583763060241872381,0.00903963949101,0.00458579005405,0.000539571059625
