%time,field.x,field.y,field.z
1583763060237706164,-0.0500539258494,-0.00769097688683,7.04153621956e-05
1583763060237750287,-0.0500539258494,-0.00769097688683,7.04153621956e-05
1583763060237936443,-0.0500539099922,-0.00756894763954,6.73605984804e-05
1583763060237981842,-0.0500534400334,-0.00744997251882,-5.77269776792e-05
1583763060238009194,-0.0500534400334,-0.00744997251882,-5.77269776792e-05
1583763060238025842,-0.0500539099922,-0.00756894763954,6.73605984804e-05
1583763060238046513,-0.0502979747878,-0.00756891618631,6.82840501196e-05
1583763060238065591,-0.0502979907585,-0.00769094468626,7.13536965871e-05
1583763060238126828,-0.0504200226516,-0.00769092850018,7.18228586701e-05
1583763060238167414,-0.0505424996129,-0.00756580003864,0.000191238846625
1583763060238205664,-0.0504204681559,-0.00756582334698,0.000190777505137
1583763060238248843,-0.050542038085,-0.00756888450791,6.92074883852e-05
1583763060238289402,-0.0506636072681,-0.00757196043811,-5.2361782262e-05
1583763060238346629,-0.0506640691695,-0.00756886858427,6.96692024771e-05
1583763060238389039,-0.0506640691695,-0.00756886858427,6.96692024771e-05
1583763060238426861,-0.0506640691695,-0.00756886858427,6.96692024771e-05
1583763060238458544,-0.050542038085,-0.00756888450791,6.92074883852e-05
1583763060238498556,-0.050542038085,-0.00756888450791,6.92074883852e-05
1583763060238528585,-0.0504204681559,-0.00756582334698,0.000190777505137
1583763060238566651,-0.0504204450627,-0.00744379470109,0.000187700353204
1583763060238612420,-0.0504204450627,-0.00744379470109,0.000187700353204
1583763060238661844,-0.0501768048095,-0.00731874921616,0.000305762655283
1583763060238713277,-0.0500552556942,-0.00743775359236,0.000430404215622
1583763060238766557,-0.0500552935031,-0.00755978335601,0.000433459154895
1583763060239496082,-0.0501768652818,-0.00756280759258,0.000311887288573
1583763060239537978,-0.0502988974843,-0.00756277695557,0.000312348264407
1583763060239586924,-0.0504209293121,-0.00756274626239,0.000312809235084
1583763060239619050,-0.0504209293121,-0.00756274626239,0.000312809235084
1583763060239652558,-0.050420960222,-0.00768477438445,0.000315886436186
1583763060239734694,-0.0502989283375,-0.00768480545266,0.000315418024238
1583763060239788141,-0.0501769272488,-0.00780686527766,0.000318011930769
1583763060239835307,-0.0501769587929,-0.00792889403323,0.000321074259759
1583763060239872703,-0.0501764997796,-0.00805398493966,0.000202103882883
1583763060239909469,-0.0501764753032,-0.00793195624133,0.00019904160791
1583763060239960092,-0.0501769587929,-0.00792889403323,0.000321074259759
1583763060240000958,-0.0502989595654,-0.00780683389238,0.000318487789294
1583763060240040747,-0.0502989595654,-0.00780683389238,0.000318487789294
1583763060240100098,-0.050420960222,-0.00768477438445,0.000315886436186
1583763060240258888,-0.050420960222,-0.00768477438445,0.000315886436186
1583763060240313309,-0.0504209915074,-0.00780680244914,0.000318963642524
1583763060240383616,-0.0502989283375,-0.00768480545266,0.000315418024238
1583763060240439100,-0.0501769272488,-0.00780686527766,0.000318011930769
1583763060240484233,-0.0502989595654,-0.00780683389238,0.000318487789294
1583763060240535080,-0.0502989595654,-0.00780683389238,0.000318487789294
1583763060240582676,-0.0495718597643,-0.00765171193351,0.00165498522643
1583763060240637376,-0.0495718597643,-0.00765171193351,0.00165498522643
1583763060240687000,-0.0482311190722,-0.00788818404876,0.00202187895305
1583763060240738730,-0.0466476359458,-0.00799488834633,0.00275076386999
1583763060240787436,-0.0451817904307,-0.00798827662072,0.00311089481813
1583763060240850347,-0.0434760560138,-0.00846862692942,0.00360292132346
1583763060240896920,-0.039813145819,-0.0087166711974,0.00371422678437
1583763060240953120,-0.0384726138905,-0.00944919470263,0.00384456728169
1583763060240993466,-0.0371317148615,-0.00969145400866,0.00408691265416
1583763060241044436,-0.0371317148615,-0.00969145400866,0.00408691265416
1583763060241103767,-0.0348112801977,-0.0105613816806,0.00348034691331
1583763060241152154,-0.0348112801977,-0.0105613816806,0.00348034691331
1583763060241212694,-0.0348123096833,-0.0119081994995,0.00325961359982
1583763060241286932,-0.0356650313589,-0.0109303197956,0.00324725195374
1583763060241357460,-0.0361531080259,-0.0116661858932,0.00301903941673
1583763060241422238,-0.037373142189,-0.0117885379882,0.00290635257778
1583763060241488289,-0.037373142189,-0.0117885379882,0.00290635257778
1583763060241543979,-0.0382269808946,-0.0119115777301,0.00279164690655
1583763060241614184,-0.0394474462618,-0.0114191596866,0.00291129703179
1583763060241667104,-0.0412812453486,-0.0105551016838,0.00327039743221
1583763060241749273,-0.0422559463064,-0.00957705842313,0.00325487608736
1583763060241818474,-0.0422559463064,-0.00957705842313,0.00325487608736
1583763060241894722,-0.0433564334738,-0.0100580213874,0.00351477624843
1583763060242021541,-0.0442119602899,-0.0100510266045,0.00376312573379
1583763060242135671,-0.0442119602899,-0.0100510266045,0.00376312573379
