%time,field.point,field.count,field.encx,field.enc_x_avg,field.ency,field.enc_y_avg,field.enc_yaw,field.enc_yaw_avg,field.hokuyo_x,field.hokuyo_x_avg,field.hokuyo_y,field.hokuyo_y_avg,field.hokuyo_theta,field.hokuyo_theta_avg,field.imu_yaw,field.imu_yaw_avg,field.ekfx,field.ekf_x_avg,field.ekfy,field.ekf_y_avg,field.ekf_yaw,field.ekf_yaw_avg
1583763063158482108,1,1,1.2729254961,0.0,0.0111720273271,0.0,0.0010834246641,0.0,1.21544861794,0.0,0.115781344473,0.0,-0.0142137166113,0.0,-0.0111637990922,0.0,1.27293813229,0.0,0.000597490929067,0.0,-0.0111788101494,0.0
1583763063358530909,1,2,1.27293550968,0.0,0.0111720375717,0.0,0.00107931892853,0.0,1.21533870697,0.0,0.113338753581,0.0,-0.0148766962811,0.0,-0.0111715970561,0.0,1.2729729414,0.0,0.000597097503487,0.0,-0.0111710513011,0.0
1583763063558925419,1,3,1.27293717861,0.0,0.0111720394343,0.0,0.00107866199687,0.0,1.21504724026,0.0,0.113018602133,0.0,-0.0143911316991,0.0,-0.0111753726378,0.0,1.27297866344,0.0,0.000597032136284,0.0,-0.0111659299582,0.0
1583763063758566302,1,4,1.27293741703,0.0,0.0111720394343,0.0,0.00107855687384,0.0,1.21490514278,0.0,0.112221769989,0.0,-0.0150924595073,0.0,-0.01117737405,0.0,1.27297961712,0.0,0.00059702177532,0.0,-0.011163957417,0.0
1583763063958273899,1,5,1.27293741703,0.0,0.0111720394343,0.0,0.00107853999361,0.0,1.21447074413,0.0,0.114564187825,0.0,-0.0155895128846,0.0,-0.0110615808517,0.0,1.27297973633,0.0,0.000597024394665,0.0,-0.0110355904326,0.0
1583763064158446594,1,6,1.27293741703,0.0,0.0111720394343,0.0,0.00107853731606,0.0,1.21387648582,0.0,0.11045049876,0.0,-0.0153421452269,0.0,-0.011188775301,0.0,1.27297973633,0.0,0.000597020552959,0.0,-0.0111526008695,0.0
1583763064358586745,1,7,1.27293741703,0.0,0.0111720394343,0.0,0.00107853696682,0.0,1.21324551105,0.0,0.115903370082,0.0,-0.0146250762045,0.0,-0.0110841840506,0.0,1.27297973633,0.0,0.000597019912675,0.0,-0.0111403390765,0.0
1583763064558391579,1,8,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21345484257,0.0,0.112519674003,0.0,-0.014875699766,0.0,-0.011084029451,0.0,1.27297973633,0.0,0.000597019854467,0.0,-0.0110118277371,0.0
1583763064758562078,1,9,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21346664429,0.0,0.114063546062,0.0,-0.014478450641,0.0,-0.0112124746665,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0111319757998,0.0
1583763064958362914,1,10,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21322202682,0.0,0.113902665675,0.0,-0.0152968000621,0.0,-0.0110903251916,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0110055608675,0.0
1583763065158345961,1,11,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21301031113,0.0,0.116275623441,0.0,-0.0157065335661,0.0,-0.0110939722508,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0110019156709,0.0
1583763065358387135,1,12,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21252393723,0.0,0.112438477576,0.0,-0.0144138289616,0.0,-0.0112189399078,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0111211221665,0.0
1583763065558476764,1,13,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21264052391,0.0,0.112367525697,0.0,-0.0144708640873,0.0,-0.0112181538716,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.011121914722,0.0
1583763065758435343,1,14,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21205914021,0.0,0.111334733665,0.0,-0.014380841516,0.0,-0.0112231532112,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.011116922833,0.0
1583763065958641250,1,15,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21163535118,0.0,0.110578030348,0.0,-0.0142851052806,0.0,-0.0112274745479,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.011112597771,0.0
1583763066158389250,1,16,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21126079559,0.0,0.111771561205,0.0,-0.0142785515636,0.0,-0.0112245567143,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.011116922833,0.0
1583763066358341416,1,17,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21126973629,0.0,0.114619404078,0.0,-0.0145733561367,0.0,-0.0112224109471,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0111176716164,0.0
1583763066558524577,1,18,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21089911461,0.0,0.113031923771,0.0,-0.0153060564771,0.0,-0.0112209925428,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0111176716164,0.0
1583763066758342121,1,19,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21086370945,0.0,0.11522129178,0.0,-0.0148423919454,0.0,-0.0111018000171,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0109941037372,0.0
1583763066958396709,1,20,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21054792404,0.0,0.112923979759,0.0,-0.0146155031398,0.0,-0.011102501303,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0109934043139,0.0
1583763067158304869,1,21,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.20995986462,0.0,0.113671444356,0.0,-0.014999633655,0.0,-0.011342337355,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0112390425056,0.0
1583763067358379363,1,22,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.21063649654,0.0,0.110044941306,0.0,-0.0141470525414,0.0,-0.0112217487767,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0111197922379,0.0
1583763067558358496,1,23,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.20931649208,0.0,0.113344445825,0.0,-0.0133754378185,0.0,-0.011342397891,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0112418429926,0.0
1583763067758433070,1,24,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.20984637737,0.0,0.113119378686,0.0,-0.0145255699754,0.0,-0.011340290308,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0112439440563,0.0
1583763067958478842,1,25,1.27293741703,0.0,0.0111720394343,0.0,0.0010785368504,0.0,1.20896589756,0.0,0.113423034549,0.0,-0.0145674170926,0.0,-0.011462341994,0.0,1.27297973633,0.0,0.00059701979626,0.0,-0.0113660655916,0.0
