%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1583763060244598887,0,1583763058496217361,chassis,left_wheel,0.0,0.195,-0.09,-0.510971823754,0.488374479242,0.488763539856,0.511378886407,0,1583763058496217361,chassis,right_wheel,0.0,-0.225,-0.09,-0.495026748847,0.504529835164,0.504931765846,0.495421108952
1583763060244741239,0,1583763058441126898,vo,base_link,0.507256356455,0.0667466434585,0.0,0.0,0.0,0.00086408151643,0.999999626681
1583763060245896819,0,1583763058460198904,odom,base_link,0.479227484876,0.00154145463095,0.0,0.00492839130526,-0.0220368846005,0.0013181438202,0.999744141855
1583763060245907995,0,1583763058596176682,odom,base_link,0.508427236327,0.00421103560823,0.0,0.0,0.0,0.0045692132119,0.999989561091
1583763060245919325,0,1583763058596176682,chassis,left_wheel,0.0,0.195,-0.09,-0.419248482017,0.569062867328,0.569516207865,0.419582473818,0,1583763058596176682,chassis,right_wheel,0.0,-0.225,-0.09,-0.400824553768,0.582186837485,0.582650633155,0.401143868257
1583763060245933568,0,1583763058541322468,vo,base_link,0.527579642098,0.0700566602339,0.0,0.0,0.0,0.000575364112667,0.999999834478
1583763060245951534,0,1583763058559198904,odom,base_link,0.500493961417,0.00159200637132,0.0,0.00480627688972,-0.022097821643,0.00113504417227,0.999743615962
1583763060245957096,0,1583763058696199267,odom,base_link,0.529915399125,0.00440721437062,0.0,0.0,0.0,0.00456012151761,0.999989602592
1583763060245964641,0,1583763058696199267,chassis,left_wheel,0.0,0.195,-0.09,-0.315008877008,0.632748958159,0.63325303384,0.31525982695,0,1583763058696199267,chassis,right_wheel,0.0,-0.225,-0.09,-0.294641375387,0.642486028295,0.642997860955,0.29487609968
1583763060245968939,0,1583763058641482113,vo,base_link,0.547279908864,0.0780627326039,0.0,0.0,0.0,6.11522222485e-05,0.99999999813
1583763060245976116,0,1583763058659198904,odom,base_link,0.521982586378,0.00163593649895,0.0,0.00480632634237,-0.02203681831,0.00107401273445,0.999745029676
1583763060245984025,0,1583763058796192790,odom,base_link,0.551420265688,0.00460445132839,0.0,0.0,0.0,0.00461132512017,0.999989367784
1583763060245989074,0,1583763058796192790,chassis,left_wheel,0.0,0.195,-0.09,-0.201412679192,0.677521047131,0.678060790229,0.201573133401,0,1583763058796192790,chassis,right_wheel,0.0,-0.225,-0.09,-0.179428135684,0.683671983315,0.68421662652,0.179571076038
1583763060246014454,0,1583763058741636071,vo,base_link,0.568584769848,0.0776431551397,0.0,0.0,0.0,0.000493940858321,0.999999878011
1583763060246023459,0,1583763058759198904,odom,base_link,0.543481214895,0.00167760779929,0.0,0.004257268981,-0.0217314628529,0.00101298978416,0.999754266325
1583763060246086376,0,1583763058896199365,odom,base_link,0.572901100065,0.00480190337611,0.0,0.0,0.0,0.0045803938002,0.999989509941
1583763060246887806,0,1583763058896199365,chassis,left_wheel,0.0,0.195,-0.09,-0.0817399866941,0.702082909078,0.702642219237,0.0818051043666,0,1583763058896199365,chassis,right_wheel,0.0,-0.225,-0.09,-0.0591772734246,0.704343585869,0.704904696983,0.0592244166463
1583763060247451262,0,1583763058841956054,vo,base_link,0.58849142068,0.0782393870307,0.0,0.0,0.0,0.000332482386053,0.999999944728
1583763060247466703,0,1583763058859198904,odom,base_link,0.564971434006,0.00171800821343,0.0,0.00370786665635,-0.0218531411142,0.000890922545335,0.999753918825
1583763060247475931,0,1583763058996190633,odom,base_link,0.59441108501,0.00499985680159,0.0,0.0,0.0,0.00462217604507,0.999989317687
1583763060247484900,0,1583763058996190633,chassis,left_wheel,0.0,0.195,-0.09,0.040360491191,0.705671926178,0.706234095506,-0.0403926441355,0,1583763058996190633,chassis,right_wheel,0.0,-0.225,-0.09,0.0631815285993,0.70399568968,0.704556523645,-0.0632318617869
1583763060247492803,0,1583763058941972950,vo,base_link,0.609372053162,0.0802269195319,0.0,0.0,0.0,0.000541943381107,0.999999853149
1583763060247502041,0,1583763058960198904,odom,base_link,0.586687303234,0.00175280763959,0.0,0.00315851048171,-0.0219138033657,0.000951956363772,0.999754421252
1583763060247509766,0,1583763059096205829,odom,base_link,0.615911550789,0.00519871509567,0.0,0.0,0.0,0.00462654988046,0.999989297461
1583763060247519351,0,1583763059096205829,chassis,left_wheel,0.0,0.195,-0.09,0.161293005338,0.688176142476,0.688724373893,-0.161421498448,0,1583763059096205829,chassis,right_wheel,0.0,-0.225,-0.09,0.183505254355,0.682588937992,0.683132718395,-0.18365144272
1583763060247532885,0,1583763059042422378,vo,base_link,0.629405453585,0.0790351653013,0.0,0.0,0.0,0.000239125812238,0.999999971409
1583763060247540417,0,1583763059059198904,odom,base_link,0.607975681356,0.00179116450168,0.0,0.00376890103167,-0.0218531787573,0.000890923335996,0.999753689775
1583763060247551198,0,1583763059196174851,odom,base_link,0.637400454729,0.00539801055111,0.0,0.0,0.0,0.00464749350794,0.999989200344
1583763060247557723,0,1583763059196174851,chassis,left_wheel,0.0,0.195,-0.09,0.277307001466,0.650155876373,0.650673819172,-0.277527916434,0,1583763059196174851,chassis,right_wheel,0.0,-0.225,-0.09,0.298320487166,0.640786020121,0.641296498479,-0.298558142401
1583763060247676706,0,1583763059142460317,vo,base_link,0.649563134284,0.083819175754,0.0,0.0,0.0,-0.000221071788414,0.999999975564
1583763060248223335,0,1583763059159198904,odom,base_link,0.629472743789,0.00182610415263,0.0,0.00291413886328,-0.0222186728,0.00113505009446,0.999748243327
1583763060248253928,0,1583763059296200645,odom,base_link,0.658891590667,0.00559770643872,0.0,0.0,0.0,0.00464421740234,0.999989215564
1583763060248261853,0,1583763059296200645,chassis,left_wheel,0.0,0.195,-0.09,0.385108949112,0.592699699645,0.593171870323,-0.385415743857,0,1583763059296200645,chassis,right_wheel,0.0,-0.225,-0.09,0.404182010979,0.579860964927,0.580322907703,-0.404504000166
1583763060248272569,0,1583763059242817705,vo,base_link,0.670414971439,0.0820363018056,0.0,0.0,0.0,6.89700280289e-05,0.999999997622
1583763060248283801,0,1583763059261198904,odom,base_link,0.651392629679,0.00187342909048,0.0,0.00279193198201,-0.0224016127378,0.000890915391876,0.999744756992
1583763060248291906,0,1583763059396192496,odom,base_link,0.680388094766,0.00579732412853,0.0,0.0,0.0,0.00464153595345,0.999989228014
1583763060248378639,0,1583763059396192496,chassis,left_wheel,0.0,0.195,-0.09,0.481429466756,0.517520536002,0.517932815648,-0.481812994668,0,1583763059396192496,chassis,right_wheel,0.0,-0.225,-0.09,0.497997044789,0.501598225701,0.501997820933,-0.498393771163
1583763060248476112,0,1583763059343088337,vo,base_link,0.691109135867,0.0814583880149,0.0,0.0,0.0,-0.000321471926243,0.999999948328
1583763060248641391,0,1583763059364934999,odom,base_link,0.673690580217,0.00191032471907,0.0,0.00285268689013,-0.0227676726205,0.00070781134876,0.999736462406
1583763060248649536,0,1583763059496215143,odom,base_link,0.701858405304,0.00599807519652,0.0,0.0,0.0,0.00470832819242,0.999988915761
